#,Nome do negócio,Categoria,Telefone,WhatsApp?,WhatsApp (nº),E-mail,Instagram,Site,Cidade,Bairro,UF,Nota,Avaliações,Tempo ativ. (est.),Observação (argumento),Google Maps
13,BW Tapeçaria,Tapeçaria,(43) 99684-4302,Sim,(43) 99684-4302,,,,Arapongas,Conjunto Centauro,Paraná,5,17,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=BW%20Tape%C3%A7aria&query_place_id=ChIJEe0rzvCl7JQRyCCWsEJ3aTk
14,Tapeçaria Adriana Reformas em Geral,Tapeçaria,(44) 99957-6816,Sim,(44) 99957-6816,,,,Maringá,Conjunto Habitacional Lea Leal,Paraná,4.6,16,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Adriana%20Reformas%20em%20Geral&query_place_id=ChIJzfBUZPvQ7JQRjlPMz4NLZGg
15,Estofados | Sofás | HARMONY ESTOFADOS,Tapeçaria,(44) 99180-0577,Sim,(44) 99180-0577,,,,Marialva,Jardim Jaguaruna,Paraná,4.9,15,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20%7C%20Sof%C3%A1s%20%7C%20HARMONY%20ESTOFADOS&query_place_id=ChIJlyqORGXE7JQRrDZ6gEzwcUU
16,Saldão de Estofados Maringá,Loja de sofás,(44) 99701-0997,Sim,(44) 99701-0997,,,,Maringá,Parque Avenida,PR,5,15,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Sald%C3%A3o%20de%20Estofados%20Maring%C3%A1&query_place_id=ChIJt58nFOTR7JQR-hk1WBR97OQ
17,Marcos Tapeçeiro,Tapeçaria,(43) 99667-3467,Sim,(43) 99667-3467,,,,Rolândia,Centro,Paraná,3.9,14,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Marcos%20Tape%C3%A7eiro&query_place_id=ChIJTURNfbin7JQROFrNxp6JRcI
18,Tapeçaria São José,Loja de tapetes,(43) 98826-5678,Sim,(43) 98826-5678,,,,Ibiporã,Zanoni,Paraná,4.3,13,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20S%C3%A3o%20Jos%C3%A9&query_place_id=ChIJ91F3rDBH65QR2AlgfD5_XvQ
19,Confort Estofados - Sofás sob medida e reformas,Moveleiro,(44) 99998-3009,Sim,(44) 99998-3009,,,,Maringá,Zona 6,Paraná,4.5,13,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Confort%20Estofados%20-%20Sof%C3%A1s%20sob%20medida%20e%20reformas&query_place_id=ChIJo6dtqB_X7JQRXFu8HDYjXmw
20,Tapeçaria Alvorada,Tapeçaria,(44) 99877-3743,Sim,(44) 99877-3743,,,,Maringá,Jardim Alvorada,Paraná,4.4,12,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Alvorada&query_place_id=ChIJB3-SmXrR7JQRue8p2jbgfiI
21,Estofaria cardoso,Tapeçaria,(44) 99860-3458,Sim,(44) 99860-3458,,,,Marialva,Jardim Santa Rita,Paraná,4.3,11,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofaria%20cardoso&query_place_id=ChIJFVemjkLb7JQRYiKjM9y3w9k
22,Tapeçaria Creatore Car automotiva e Bancos em Couro,Tapeçaria,(43) 99933-1512,Sim,(43) 99933-1512,,,,Apucarana,Vila Nova,Paraná,4.7,10,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Creatore%20Car%20automotiva%20e%20Bancos%20em%20Couro&query_place_id=ChIJCXTDB-mZ7JQRz7jDb3JbDAw
23,Arapongas estofados sob medida,Loja de sofás,(43) 99634-2984,Sim,(43) 99634-2984,,,,Arapongas,Jardim Baroneza,PR,5,10,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Arapongas%20estofados%20sob%20medida&query_place_id=ChIJk3Iiccaj7JQRVXhH6LX58Xk
24,Tapeçaria Auto Capas,Estofamento automotivo,(43) 99933-6113,Sim,(43) 99933-6113,,,,Apucarana,Jardim Santos Dumont,Paraná,4.3,8,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Auto%20Capas&query_place_id=ChIJUSp2jXmZ7JQR-11Q2PAzS6Q
25,Tapeçaria Shopping Serviços,Loja,(43) 99695-8348,Sim,(43) 99695-8348,,,,Rolândia,Centro,Paraná,4.6,8,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Shopping%20Servi%C3%A7os&query_place_id=ChIJy-AMDOun7JQRXSWX5EluvJA
26,ADBS TAPEÇARIA AUTOMOTIVA E ACESSORIOS,Tapeçaria,(43) 99635-6429,Sim,(43) 99635-6429,,,,Arapongas,Jardim Bandeirantes,Paraná,4.5,8,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=ADBS%20TAPE%C3%87ARIA%20AUTOMOTIVA%20E%20ACESSORIOS&query_place_id=ChIJp-V7-1ih7JQReP7rODTfG4c
27,Estofados Maringá,Reformas,(44) 99994-5260,Sim,(44) 99994-5260,,,,Maringá,Zona 03,Paraná,5,8,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20Maring%C3%A1&query_place_id=ChIJFY66LyzR7JQRR5mjwwCMCNQ
28,Tapeçaria FC Rolândia,Tapeçaria,(43) 99145-0304,Sim,(43) 99145-0304,,,,Rolândia,Vila Oliveira,Paraná,5,7,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20FC%20Rol%C3%A2ndia&query_place_id=ChIJGysNtxin7JQRf8mZ-KUxCNI
29,Estofados Espaço Arte,Tapeçaria,(44) 99983-3650,Sim,(44) 99983-3650,,,,Sarandi,Jardim Ouro Verde II,Paraná,4.3,6,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20Espa%C3%A7o%20Arte&query_place_id=ChIJ9eF6QwbF7JQRLM2_QO5HJwY
30,Lumière estofados,Moveleiro,(44) 99908-1096,Sim,(44) 99908-1096,,,,Sarandi,Jardim Cruzeiro,Paraná,5,6,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Lumi%C3%A8re%20estofados&query_place_id=ChIJwf59WCXb7JQRDHkJOCAmWw4
31,Tapeçaria Iris,Tapeçaria,(43) 99987-7676,Sim,(43) 99987-7676,,,,Apucarana,Jardim Apucarana,Paraná,5,5,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Iris&query_place_id=ChIJ7ZZCJ3aZ7JQRtChMCfZF6Pc
32,Estofados Fama,Tapeçaria,(43) 99931-6247,Sim,(43) 99931-6247,,,,Cambé,Jardim Tupi,Paraná,4.8,5,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20Fama&query_place_id=ChIJp5sJwh1a65QRBM7E8dODPZg
33,Arte'manha estofados,Loja de sofás,(43) 99636-1359,Sim,(43) 99636-1359,,,,Cambé,Jardim Silvino,Paraná,5,4,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (4),https://www.google.com/maps/search/?api=1&query=Arte'manha%20estofados&query_place_id=ChIJX7fniWZb65QRRwVHSmPsPWo
34,JE Tapeçaria - Reforma de Estofados em Geral,Tapeçaria,(43) 99928-2312,Sim,(43) 99928-2312,,,,Apucarana,Centro,Paraná,5,3,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=JE%20Tape%C3%A7aria%20-%20Reforma%20de%20Estofados%20em%20Geral&query_place_id=ChIJVxGWOSuZ7JQRDthff0xAhJ8
35,Sr. Zambianco Tapeçaria,Estofamento automotivo,(43) 99927-0732,Sim,(43) 99927-0732,,,,Cambé,Jardim do Cafe,Paraná,3.7,3,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=Sr.%20Zambianco%20Tape%C3%A7aria&query_place_id=ChIJp6v-tilb65QR3Yug2OmKpKU
36,Tapeçaria São pedro,Tapeçaria,(44) 99883-5060,Sim,(44) 99883-5060,,,,Marialva,Centro,Paraná,4.7,3,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20S%C3%A3o%20pedro&query_place_id=ChIJhUjFlcPF7JQRHyRPvDHOijU
37,Tapeçaria Garotinho,Tapeçaria,(43) 99667-3569,Sim,(43) 99667-3569,,,,Bela Vista do Paraíso,Jardim Bela Vista,Paraná,5,3,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Garotinho&query_place_id=ChIJB8mhkz-ulJQRKg0gGE6e4xM
38,Zana’s Tapeçaria e Acessórios,Tapeçaria,(43) 99855-0550,Sim,(43) 99855-0550,,,,Arapongas,Vila Industrial,Paraná,5,3,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=Zana%E2%80%99s%20Tape%C3%A7aria%20e%20Acess%C3%B3rios&query_place_id=ChIJU0CkC-mh7JQRQ86s5lwWP0U
39,Acessórios e Tapeçaria Bi Trem,,(43) 99866-6633,Sim,(43) 99866-6633,,,,Cambé,Jardim Jose Favaro,Paraná,5,2,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=Acess%C3%B3rios%20e%20Tape%C3%A7aria%20Bi%20Trem&query_place_id=ChIJf8quCBFa65QRSJgBYf00T74
40,Irmãos tapeçaria,Tapeçaria,(44) 99882-9816,Sim,(44) 99882-9816,,,,Sarandi,Jardim Escala,Paraná,5,2,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=Irm%C3%A3os%20tape%C3%A7aria&query_place_id=ChIJkyJAW5Pb7JQRJJ3y1Yt6HzM
41,CASAL DECOR ESTOFADOS,Fabricante de móveis,(43) 99100-2431,Sim,(43) 99100-2431,,,,Arapongas,Jd Alto da Boa Vista,Paraná,3,2,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=CASAL%20DECOR%20ESTOFADOS&query_place_id=ChIJXfmIcoyh7JQRCGoQ3kbVnco
42,Estofados Presença Ibiporã,Tapeçaria,(43) 99601-0677,Sim,(43) 99601-0677,,,,Ibiporã,Centro,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Estofados%20Presen%C3%A7a%20Ibipor%C3%A3&query_place_id=ChIJV-9MW8dH65QR0JMrFGxxj5c
43,Tapeçaria Leal Rolândia,Tapeçaria,(43) 98811-7852,Sim,(43) 98811-7852,,,,Rolândia,Jardim Novo Horizonte,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Leal%20Rol%C3%A2ndia&query_place_id=ChIJNV_E0ASn7JQROwXER5q-kwE
44,Estofaria Sarandi,Estofamento automotivo,(54) 99630-3895,Sim,(54) 99630-3895,,,,Sarandi,Centro,Rio Grande do Sul,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Estofaria%20Sarandi&query_place_id=ChIJVTe3upzF_JQR2IbLukGzQg0
45,Tapeçaria Itália,Estofamento automotivo,(44) 98832-1695,Sim,(44) 98832-1695,,,,Sarandi,Centro,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20It%C3%A1lia&query_place_id=ChIJ57-wI2Xb7JQRxDm_6myhV7o
46,Tapeçaria Automotiva,Tapeçaria,(44) 99977-3317,Sim,(44) 99977-3317,,,,Marialva,Vila Antonio,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Automotiva&query_place_id=ChIJF-ym2bTF7JQR_TxcdSJZ6vI
47,Capas car tapecaria,Tapeçaria,(44) 99868-2530,Sim,(44) 99868-2530,,,,Astorga,Astorga,Paraná,1,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Capas%20car%20tapecaria&query_place_id=ChIJmwNSppu17JQR9yplDgq5Veo
48,Adriano Estofados,Loja de móveis,(43) 99921-7017,Sim,(43) 99921-7017,,,,Rolândia,Centro,Paraná,1,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Adriano%20Estofados&query_place_id=ChIJ-Yxkueun7JQRyWI2AU0reBY
49,Canaã Estofados,Loja de sofás,(43) 99951-2816,Sim,(43) 99951-2816,,,,Apucarana,Vila Nossa Senhora da Conceicao,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Cana%C3%A3%20Estofados&query_place_id=ChIJm-ZezhSb7JQRxjs-rErcrWQ
50,Luan das reforma,Tapeçaria,(43) 99970-8572,Sim,(43) 99970-8572,,,,Arapongas,Conjunto Aguias,PR,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Luan%20das%20reforma&query_place_id=ChIJy06pnFWn7JQRPvfXOhPn2Gk
51,Silvano estofado,Tapeçaria,(43) 99909-4405,Sim,(43) 99909-4405,,,,Arapongas,Jardim do Sol,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Silvano%20estofado&query_place_id=ChIJJ-6phdSh7JQR80f7W3f2O5s
52,Tapeçaria TAPAJO,Loja de móveis,(67) 99967-2737,Sim,(67) 99967-2737,,,,Rolândia,Vila Oliveira,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20TAPAJO&query_place_id=ChIJFz1qarSn7JQRCgZzVfA7qy8
53,Rainha do Estofado,Tapeçaria,(43) 99178-6883,Sim,(43) 99178-6883,,,,Rolândia,Centro,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Rainha%20do%20Estofado&query_place_id=ChIJI2KUAQCn7JQR8Qe4nRTGDkM
54,Altair Estofados,Loja de móveis,(44) 99743-3239,Sim,(44) 99743-3239,,,,Marialva,Jardim Macente,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Altair%20Estofados&query_place_id=ChIJqYTotnPE7JQRg9mCqEUd01g
55,Tapeçaria Procar,Loja de móveis,(44) 99703-3391,Sim,(44) 99703-3391,,,,Sarandi,Jardim Verao,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Procar&query_place_id=ChIJmy6A3bja7JQRcZmHKE9KyRI
56,Mais Conforto Estofados e Colchões,Loja de colchões,(43) 99953-8255,Sim,(43) 99953-8255,,,,Cornélio Procópio,Cornélio Procópio,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Mais%20Conforto%20Estofados%20e%20Colch%C3%B5es&query_place_id=ChIJxSbTLQHf6pQRkcq-yGdwc_w
57,vetra car,Tapeçaria,(43) 99180-5611,Sim,(43) 99180-5611,,,,Jandaia do Sul,Jandaia do Sul,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=vetra%20car&query_place_id=ChIJ_T_kS4qV7JQRFCRPp2GIrd4
58,Nilvex estofados,Tapeçaria,(43) 99699-5812,Sim,(43) 99699-5812,,,,Jandaia do Sul,Jandaia do Sul,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Nilvex%20estofados&query_place_id=ChIJFXHLjI2V7JQRSk6Ewmo2Jgo
59,Tapeçaria são Marcos,Reformas,(43) 99611-1176,Sim,(43) 99611-1176,,,,Cornélio Procópio,Vila sta Terezinha,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20s%C3%A3o%20Marcos&query_place_id=ChIJ669QKHXf6pQRoFdZtNluRNc
60,Gj Estofados,Tapeçaria,(43) 99179-7179,Sim,(43) 99179-7179,,,,Bela Vista do Paraíso,Jardim Bela Vista,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Gj%20Estofados&query_place_id=ChIJf3bQZXOvlJQRmR-UGaSO9tM
61,Casa Conforto Estofados Fabricação E Reformas,Loja de móveis,(43) 99667-1785,Sim,(43) 99667-1785,,,,Rolândia,Centro,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Casa%20Conforto%20Estofados%20Fabrica%C3%A7%C3%A3o%20E%20Reformas&query_place_id=ChIJS0dNYsCn7JQRN8oxxRdsAOE
62,elite estofados,Moveleiro,(43) 99921-2809,Sim,(43) 99921-2809,,,,Apucarana,Pirapó,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=elite%20estofados&query_place_id=ChIJC-8r9eWX7JQR_YAsBXYV24c
63,maranatta estofados,Tapeçaria,(43) 99955-9747,Sim,(43) 99955-9747,,,,Arapongas,Vila Nova,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=maranatta%20estofados&query_place_id=ChIJf0cydoej7JQRDBE4aV8ZKm4
64,Davila Decor| Tapeçaria em Arapongas,Moveleiro,(43) 99600-9763,Sim,(43) 99600-9763,,,,Arapongas,Jardim Sao Carlos,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Davila%20Decor%7C%20Tape%C3%A7aria%20em%20Arapongas&query_place_id=ChIJ0Ufwm3mj7JQR3uwu6iLbpYI
65,RecTap - Recanto do Tapeceiro,Tapeçaria,(44) 3031-4481,Sim,(44) 99765-1716,rectap@rectap.com.br,https://www.instagram.com/rectapmaringa,https://rectap.com.br/,Maringá,Jardim Alvorada,Paraná,4.6,380,3+ anos (est.),estabelecida (380 aval.),https://www.google.com/maps/search/?api=1&query=RecTap%20-%20Recanto%20do%20Tapeceiro&query_place_id=ChIJuc3lFf_P7JQRwpbdZPwObuY
66,Estofados Montreal,Loja de sofás,(44) 99178-6242,Sim,(44) 99178-6242,estofadosmontreal@hotmail.com,https://www.instagram.com/montrealestofadosoficial,http://www.estofadosmontreal.com.br/,Sarandi,Panorama,Paraná,4.7,265,3+ anos (est.),estabelecida (265 aval.),https://www.google.com/maps/search/?api=1&query=Estofados%20Montreal&query_place_id=ChIJkbQ5v2_Q7JQR-VzVhdyRVpE
67,Estofados Montreal,Loja de sofás,(44) 99858-2048,Sim,(44) 99858-2048,estofadosmontreal@hotmail.com,https://www.instagram.com/montrealestofadosoficial,http://www.estofadosmontreal.com.br/,Maringá,Conjunto Residencial Governador Parigot de Souza,Paraná,4.9,168,3+ anos (est.),estabelecida (168 aval.),https://www.google.com/maps/search/?api=1&query=Estofados%20Montreal&query_place_id=ChIJH1GnJ83R7JQRE0qPO98F_QM
68,ESTOFADOS MONTREAL,Loja de sofás,(44) 99725-6690,Sim,(44) 99725-6690,estofadosmontreal@hotmail.com,https://www.instagram.com/montrealestofadosoficial,http://www.estofadosmontreal.com.br/,Sarandi,Centro,Paraná,5,161,3+ anos (est.),estabelecida (161 aval.),https://www.google.com/maps/search/?api=1&query=ESTOFADOS%20MONTREAL&query_place_id=ChIJR2FY6iXb7JQRPa1hUpDy3OY
69,Design Estofados,Tapeçaria,(44) 99705-7481,Sim,(44) 99705-7481,,https://www.instagram.com/designestofados42,https://designestofadosmaringa.com.br/,Maringá,Jardim Dourados,Paraná,5,133,3+ anos (est.),sem e-mail público • estabelecida (133 aval.),https://www.google.com/maps/search/?api=1&query=Design%20Estofados&query_place_id=ChIJ07EdOB3R7JQRMWgPnaxSFco
70,Iviart Estofados,Loja de móveis,(44) 98824-2824,Sim,(44) 98824-2824,,https://www.instagram.com/iviartestofadosmaringa1,http://www.iviart.com.br/,Maringá,Zona 01,Paraná,4.8,109,3+ anos (est.),sem e-mail público • estabelecida (109 aval.),https://www.google.com/maps/search/?api=1&query=Iviart%20Estofados&query_place_id=ChIJNzRYDZLR7JQRgWozt8Fy3kQ
71,Maringa Colchões e Estofados,Loja de colchões,(44) 99712-4511,Sim,(44) 99712-4511,,https://www.instagram.com/maringa.estofados/,https://www.instagram.com/maringa.estofados/,Maringá,Zona 08,Paraná,4.9,71,3+ anos (est.),sem e-mail público • estabelecida (71 aval.),https://www.google.com/maps/search/?api=1&query=Maringa%20Colch%C3%B5es%20e%20Estofados&query_place_id=ChIJ9yd-9hTR7JQRnN8qj6lqneU
72,Euro Estofados,Tapeçaria,(44) 99830-7626,Sim,(44) 99830-7626,,https://www.instagram.com/daluzrosiane/,https://www.instagram.com/daluzrosiane/,Sarandi,Jardim Independencia,Paraná,4.9,54,3+ anos (est.),sem e-mail público • estabelecida (54 aval.),https://www.google.com/maps/search/?api=1&query=Euro%20Estofados&query_place_id=ChIJuU9hQFDR7JQRO02lkbOxf5M
